Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,31.143.000.000,0.2794651592974344,0.3572416850191646,30.200,943,1.297.336.597,1.0,3.0,4.0,7.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,26.074.802.400,0.2040080273053191,0.3359224042825541,29.953,-3.878,3.001.528.000,4.1,5.0,7.0,12.0,56.4,-24.5
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,214.956.772.594,0.1783785946225885,0.3444231721257625,133.106,81.850,29.083.281.000,6.6,8.0,5.0,13.0,75.8,73.5
4,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,29.046.000.000,0.127827905839014,0.4661168705433294,29.438,-392,61.147.098,8.5,16.0,2.0,18.0,1.6,-4.9
5,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,305.147.500.000,0.1625063813401715,0.2417850361438487,184.625,120.522,47.155.432.000,45.8,11.0,14.0,25.0,95.1,58.8
6,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,41.981.000.000,0.1157093540172935,0.3424465351477972,35.575,6.406,1.043.513.420,1.0,19.0,6.0,25.0,21.5,45.2
7,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,29.371.900.000,0.1287343205921305,0.2788424777631283,30.880,-1.509,204.998.460,3.4,15.0,11.0,26.0,5.4,-11.1
8,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,246.796.591.655,0.1257063997195257,0.3036832655112932,216.851,29.946,11.670.835.000,11.4,17.0,10.0,27.0,37.6,29.3
9,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,34.476.500.000,0.111863667454643,0.3344456247115929,28.320,6.157,2.482.987.037,18.5,21.0,8.0,29.0,64.4,53.4
10,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,99.451.842.188,0.1829456910983879,0.1850546539354375,99.448,4,11.149.253.000,21.4,6.0,23.0,29.0,61.3,0.0
11,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,88.292.325.022,0.1416102928187876,0.2135624090182964,68.407,19.885,3.949.004.000,6.7,13.0,16.0,29.0,31.6,34.0
12,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/6,June,2.603.901.925,False,29.507.204.332,0.0882463108237665,2.297308811337798,27.990,1.518,944.045.434,8.1,30.0,1.0,31.0,36.3,133.9
13,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,172.944.773.656,0.1747079970174145,0.1561600800321292,107.289,65.655,22.981.548.000,18.3,9.0,27.0,36.0,76.1,33.9
14,INVES,"INVES - Investco Holding 
	Hisse Senedi",2026/6,June,13.215.978.559,False,146.474.100.000,0.0902274092074981,0.3076987800494339,151.125,-4.651,59.609.521,1.7,28.0,9.0,37.0,0.5,-10.8
15,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,6.682.962.289,1.078525762707944,0.1211997691675427,27.667,-20.984,55.684.000,4.2,1.0,36.0,37.0,0.8,-35.3
16,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/6,June,9.913.209.000,False,95.290.040.759,0.1040319525633502,0.2113348066695031,82.040,13.250,5.498.412.000,6.7,23.0,17.0,40.0,55.5,28.2
17,TBORG,"TBORG - Tuborg 
	Hisse Senedi",2026/6,June,6.196.509.000,False,49.817.666.354,0.124383766915743,0.1885925202242472,51.440,-1.622,3.257.057.000,0.6,18.0,22.0,40.0,52.6,-4.9
18,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/6,June,82.511.223.000,False,639.036.941.401,0.1291180801208543,0.1576487097907291,769.755,-130.718,24.317.996.000,164.2,14.0,26.0,40.0,29.5,-25.0
19,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/6,June,7.184.466.000,False,33.595.308.000,0.2138532559368112,0.1201019784213612,55.340,-21.745,,15.9,4.0,37.0,41.0,,-36.4
20,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/6,June,50.457.954.000,False,321.260.700.000,0.1570623297527522,0.1404952797533016,224.400,96.861,36.241.898.000,54.9,12.0,30.0,42.0,71.8,27.0
21,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/6,June,12.416.232.000,False,75.465.673.499,0.1645282076509049,0.1235408883297503,33.364,42.102,15.752.359.000,13.5,10.0,35.0,45.0,126.9,41.9
22,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/6,June,11.026.854.000,False,14.937.172.907,0.7382155959698469,0.1060213623903336,58.307,-43.370,9.726.593.000,5.0,2.0,43.0,45.0,88.2,-41.7
23,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,11.372.906.180,False,156.953.800.000,0.0724602155538763,0.2756768656269178,161.489,-4.535,2.271.621.446,28.5,34.0,12.0,46.0,20.0,-11.0
24,SARKY,"SARKY - Sarkuysan 
	Hisse Senedi",2026/6,June,3.124.201.461,False,34.295.000.000,0.0910978702726345,0.1753892745824126,25.520,8.775,2.036.532.342,4.6,27.0,24.0,51.0,65.2,49.3
25,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/6,June,10.102.534.000,False,99.606.586.274,0.1014243573431939,0.1460152384039612,110.360,-10.753,1.682.447.000,9.0,24.0,29.0,53.0,16.7,-15.5
26,PAHOL,"PAHOL - Pasifik Holding 
	Hisse Senedi",2026/6,June,4.903.813.174,False,26.999.400.000,0.1816267462980658,0.0958271785425423,27.000,-1,294.996.172,8.2,7.0,47.0,54.0,6.0,-0.0
27,GENIL,"GENIL - Gen İlaç 
	Hisse Senedi",2026/6,June,2.718.310.756,False,57.295.100.000,0.0474440354585296,0.2199524000242985,52.200,5.095,1.323.469.361,10.2,50.0,15.0,65.0,48.7,41.2
28,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/6,June,3.527.866.000,False,47.443.400.000,0.0743594683349001,0.1255162532288397,42.803,4.640,565.125.000,27.2,33.0,34.0,67.0,16.0,16.5
29,GLRMK,"GLRMK - Gülermak Ağır Sanayi 
	Hisse Senedi",2026/6,June,5.418.533.643,False,56.426.160.000,0.0960287505476183,0.109466610434349,56.810,-384,1.645.441.270,15.2,25.0,42.0,67.0,30.4,-0.8
30,BRYAT,"BRYAT - Borusan Yatırım 
	Hisse Senedi",2026/6,June,4.163.923.318,False,47.069.300.000,0.0884636762815678,0.119864435249908,47.812,-743,,2.7,29.0,38.0,67.0,,-2.1
31,GLYHO,"GLYHO - Global Yatırım Holding 
	Hisse Senedi",2026/6,June,6.850.712.606,False,100.600.000.000,0.0680985348508946,0.1378048929509385,33.130,67.470,4.108.323.303,1.5,37.0,31.0,68.0,60.0,135.7
32,EUPWR,"EUPWR - Europower Enerji 
	Hisse Senedi",2026/6,June,3.233.811.000,False,73.231.000.000,0.044159044666876,0.1914395699947289,70.290,2.941,207.564.000,56.3,51.0,21.0,72.0,6.4,17.4
33,DOAS,"DOAS - Doğuş Otomotiv 
	Hisse Senedi",2026/6,June,7.663.350.000,False,68.483.300.000,0.1119010036023381,0.0840936725391831,36.256,32.227,9.457.316.000,5.0,20.0,53.0,73.0,123.4,35.4
34,ASTOR,"ASTOR - Astor Enerji 
	Hisse Senedi",2026/6,June,11.095.868.713,False,328.139.600.000,0.0338144762564469,0.250691893898908,337.574,-9.434,1.474.499.832,216.1,60.0,13.0,73.0,13.3,-21.3
35,ARMGD,"ARMGD - Armada Gıda 
	Hisse Senedi",2026/6,June,2.134.727.930,False,57.547.518.408,0.0370950475198218,0.1949223304141951,52.110,5.438,1.186.724.645,5.0,57.0,18.0,75.0,55.6,49.7
36,AHGAZ,"AHGAZ - Ahlatçı Doğalgaz 
	Hisse Senedi",2026/6,June,12.379.245.880,False,161.428.200.000,0.076685770392038,0.1049528879483869,96.772,64.656,1.291.438.011,3.6,32.0,44.0,76.0,10.4,54.8
37,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/6,June,2.881.775.838,False,253.728.400.000,0.0113577188757742,0.3662172590973192,252.750,978,67.097.377,12.1,73.0,3.0,76.0,2.3,12.4
38,CWENE,"CWENE - Cw Enerji 
	Hisse Senedi",2026/6,June,2.885.181.811,False,50.422.786.142,0.0572198014378754,0.1268072742801708,40.997,9.426,2.546.088.301,58.5,44.0,33.0,77.0,88.2,41.4
39,AKSA,"AKSA - Aksa 
	Hisse Senedi",2026/6,June,4.624.381.000,False,65.364.900.000,0.0707471594081839,0.1109018575921631,42.269,23.096,5.882.204.000,6.2,36.0,41.0,77.0,127.2,55.4
40,SELEC,"SELEC - Selçuk Ecza Deposu 
	Hisse Senedi",2026/6,June,7.267.176.484,False,201.783.800.000,0.0360146675996784,0.1924877952282388,209.588,-7.804,798.396.927,20.6,59.0,20.0,79.0,11.0,-20.7
41,FROTO,"FROTO - Ford Otosan 
	Hisse Senedi",2026/6,June,27.524.063.000,False,385.867.255.000,0.0713303931425847,0.1028858575941055,273.885,111.982,38.099.705.000,41.3,35.0,46.0,81.0,138.4,41.9
42,TRALT,"TRALT - Türk Altın 
	Hisse Senedi",2026/6,June,7.386.617.000,False,147.449.875.000,0.0500957833975783,0.1313715621221226,168.932,-21.482,,133.8,49.0,32.0,81.0,,-38.2
43,EFOR,"EFOR - Efor Yat. San. 
	Hisse Senedi",2026/6,June,1.179.094.616,False,43.156.700.000,0.0273212413368028,0.1942477740863722,40.293,2.864,1.136.873.813,32.2,63.0,19.0,82.0,96.4,47.2
44,AGHOL,"AGHOL - Anadolu Grubu Holding 
	Hisse Senedi",2026/6,June,18.591.195.000,False,173.742.611.025,0.1070042339660557,0.0587915450201582,76.275,97.468,42.198.142.000,3.2,22.0,63.0,85.0,227.0,30.8
45,RYSAS,"RYSAS - Reysaş Taşımacılık 
	Hisse Senedi",2026/6,June,4.127.927.783,False,60.897.300.000,0.0677850706517366,0.0877658867577896,56.680,4.217,2.880.848.828,5.5,38.0,50.0,88.0,69.8,9.0
46,TABGD,"TABGD - Tab Gıda 
	Hisse Senedi",2026/6,June,3.357.226.000,False,65.263.397.600,0.0514411771905666,0.10293662688742,63.442,1.822,1.869.269.000,5.3,47.0,45.0,92.0,55.7,5.6
47,ASELS,"ASELS - Aselsan 
	Hisse Senedi",2026/6,June,48.613.117.000,False,1.830.464.400.000,0.0265578052214509,0.1486466792520939,1.796.640,33.824,9.659.813.000,279.8,64.0,28.0,92.0,19.9,10.3
48,ENKAI,"ENKAI - Enka İnşaat 
	Hisse Senedi",2026/6,June,27.709.033.000,False,353.863.200.000,0.0783043645114835,0.0605785682532935,526.200,-172.337,2.422.422.000,24.5,31.0,61.0,92.0,8.7,-37.7
49,CIMSA,"CIMSA - Çimsa 
	Hisse Senedi",2026/6,June,4.366.096.000,False,69.372.853.886,0.0629366640609827,0.0844197447679471,43.119,26.254,1.939.705.000,7.6,41.0,51.0,92.0,44.4,50.8
50,AKSEN,"AKSEN - Aksa Enerji 
	Hisse Senedi",2026/6,June,9.558.170.230,False,159.485.883.146,0.0599311364834844,0.0831511801632379,100.008,59.478,2.992.461.836,18.9,42.0,54.0,96.0,31.3,51.7
