Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,30.993.000.000,0.2808177154841416,0.3572416850191646,30.050,943,1.297.336.597,0.9,3.0,4.0,7.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,25.407.412.320,0.2093668152034776,0.3359224042825541,29.286,-3.878,3.001.528.000,4.0,5.0,7.0,12.0,56.4,-24.5
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,215.547.307.078,0.1778898911788684,0.3444231721257625,133.697,81.850,29.083.281.000,7.3,8.0,5.0,13.0,75.8,73.5
4,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,27.147.562.500,0.1367669511028844,0.4661168705433294,27.539,-392,61.147.098,8.5,14.0,2.0,16.0,1.6,-4.9
5,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,298.322.500.000,0.1662241902638922,0.2417850361438487,177.800,120.522,47.155.432.000,45.2,10.0,14.0,24.0,95.1,58.8
6,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,41.276.300.000,0.1176848310289439,0.3424465351477972,34.870,6.406,1.043.513.420,1.0,19.0,6.0,25.0,21.5,45.2
7,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,249.174.958.467,0.1245065362543085,0.3036832655112932,219.229,29.946,11.670.835.000,11.1,18.0,10.0,28.0,37.6,29.3
8,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,29.524.900.000,0.1280672107610864,0.2788424777631283,31.034,-1.509,204.998.460,3.2,17.0,11.0,28.0,5.4,-11.1
9,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,33.297.900.000,0.1158231519405127,0.3344456247115929,27.141,6.157,2.482.987.037,17.1,20.0,8.0,28.0,64.4,53.4
10,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,94.820.006.250,0.1918823539415238,0.1850546539354375,94.816,4,11.149.253.000,22.1,6.0,23.0,29.0,61.3,0.0
11,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,86.879.108.369,0.1439137927951114,0.2135624090182964,66.994,19.885,3.949.004.000,7.0,13.0,16.0,29.0,31.6,34.0
12,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/6,June,2.603.901.925,False,28.910.997.273,0.0900661398972651,2.297308811337798,27.393,1.518,944.045.434,7.9,30.0,1.0,31.0,36.3,133.9
13,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,172.175.036.814,0.1754890578748277,0.1561600800321292,106.520,65.655,22.981.548.000,18.6,9.0,26.0,35.0,76.1,33.9
14,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,6.812.855.070,1.0579627668802871,0.1211997691675427,27.797,-20.984,55.684.000,4.2,1.0,35.0,36.0,0.8,-35.3
15,INVES,"INVES - Investco Holding 
	Hisse Senedi",2026/6,June,13.215.978.559,False,144.692.850.000,0.0913381591350229,0.3076987800494339,149.344,-4.651,59.609.521,1.7,28.0,9.0,37.0,0.5,-10.8
16,TBORG,"TBORG - Tuborg 
	Hisse Senedi",2026/6,June,6.196.509.000,False,45.915.316.492,0.1349551625338932,0.1885925202242472,47.538,-1.622,3.257.057.000,0.7,15.0,22.0,37.0,52.6,-4.9
17,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/6,June,9.913.209.000,False,91.995.080.274,0.1077580341298732,0.2113348066695031,78.745,13.250,5.498.412.000,6.6,22.0,17.0,39.0,55.5,28.2
18,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/6,June,7.184.466.000,False,31.693.716.000,0.2266842423905104,0.1201019784213612,53.439,-21.745,,16.2,4.0,36.0,40.0,,-36.4
19,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/6,June,50.457.954.000,False,310.700.700.000,0.1624005159949752,0.1404952797533016,213.840,96.861,36.241.898.000,58.5,12.0,29.0,41.0,71.8,27.0
20,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/6,June,82.511.223.000,False,625.067.673.316,0.1320036637990601,0.1576487097907291,755.786,-130.718,24.317.996.000,172.6,16.0,25.0,41.0,29.5,-25.0
21,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/6,June,11.026.854.000,False,13.105.275.644,0.8414057284810751,0.1060213623903336,56.475,-43.370,9.726.593.000,5.0,2.0,42.0,44.0,88.2,-41.7
22,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,11.372.906.180,False,154.365.300.000,0.0736752766327665,0.2756768656269178,158.900,-4.535,2.271.621.446,29.1,33.0,12.0,45.0,20.0,-11.0
23,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/6,June,12.416.232.000,False,75.317.963.157,0.1648508732780943,0.1235408883297503,33.216,42.102,15.752.359.000,13.2,11.0,34.0,45.0,126.9,41.9
24,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/6,June,10.102.534.000,False,95.717.261.648,0.1055455810800742,0.1460152384039612,106.470,-10.753,1.682.447.000,9.1,23.0,28.0,51.0,16.7,-15.5
25,PAHOL,"PAHOL - Pasifik Holding 
	Hisse Senedi",2026/6,June,4.903.813.174,False,26.199.400.000,0.1871727281540798,0.0958271785425423,26.200,-1,294.996.172,8.0,7.0,46.0,53.0,6.0,-0.0
26,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/6,June,3.527.866.000,False,38.979.400.000,0.0905059082489725,0.1255162532288397,34.339,4.640,565.125.000,25.2,29.0,33.0,62.0,16.0,16.5
27,BRYAT,"BRYAT - Borusan Yatırım 
	Hisse Senedi",2026/6,June,4.163.923.318,False,45.522.425.000,0.0914697166945741,0.119864435249908,46.266,-743,,2.6,27.0,37.0,64.0,,-2.1
28,GENIL,"GENIL - Gen İlaç 
	Hisse Senedi",2026/6,June,2.718.310.756,False,56.080.100.000,0.0484719313267986,0.2199524000242985,50.985,5.095,1.323.469.361,10.0,50.0,15.0,65.0,48.7,41.2
29,GLRMK,"GLRMK - Gülermak Ağır Sanayi 
	Hisse Senedi",2026/6,June,5.418.533.643,False,51.522.640.000,0.105168012411631,0.109466610434349,51.906,-384,1.645.441.270,15.2,24.0,41.0,65.0,30.4,-0.8
30,GLYHO,"GLYHO - Global Yatırım Holding 
	Hisse Senedi",2026/6,June,6.850.712.606,False,99.254.500.000,0.0690216827045625,0.1378048929509385,31.785,67.470,4.108.323.303,1.5,36.0,30.0,66.0,60.0,135.7
31,EUPWR,"EUPWR - Europower Enerji 
	Hisse Senedi",2026/6,June,3.233.811.000,False,57.820.000.000,0.0559289346246973,0.1914395699947289,54.879,2.941,207.564.000,53.2,45.0,21.0,66.0,6.4,17.4
32,ASTOR,"ASTOR - Astor Enerji 
	Hisse Senedi",2026/6,June,11.095.868.713,False,305.934.100.000,0.0362688197000595,0.250691893898908,315.368,-9.434,1.474.499.832,223.8,58.0,13.0,71.0,13.3,-21.3
33,CWENE,"CWENE - Cw Enerji 
	Hisse Senedi",2026/6,June,2.885.181.811,False,45.376.388.900,0.0635833278261634,0.1268072742801708,35.950,9.426,2.546.088.301,57.4,40.0,32.0,72.0,88.2,41.4
34,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/6,June,2.881.775.838,False,205.878.400.000,0.0139974656787696,0.3662172590973192,204.900,978,67.097.377,12.7,70.0,3.0,73.0,2.3,12.4
35,DOAS,"DOAS - Doğuş Otomotiv 
	Hisse Senedi",2026/6,June,7.663.350.000,False,67.801.300.000,0.1130265938853679,0.0840936725391831,35.574,32.227,9.457.316.000,4.7,21.0,52.0,73.0,123.4,35.4
36,AHGAZ,"AHGAZ - Ahlatçı Doğalgaz 
	Hisse Senedi",2026/6,June,12.379.245.880,False,165.276.200.000,0.0749003539529587,0.1049528879483869,100.620,64.656,1.291.438.011,3.9,32.0,43.0,75.0,10.4,54.8
37,AKSA,"AKSA - Aksa 
	Hisse Senedi",2026/6,June,4.624.381.000,False,64.704.450.000,0.0714692884337939,0.1109018575921631,41.608,23.096,5.882.204.000,6.1,35.0,40.0,75.0,127.2,55.4
38,ARMGD,"ARMGD - Armada Gıda 
	Hisse Senedi",2026/6,June,2.134.727.930,False,57.679.508.830,0.0370101613781565,0.1949223304141951,52.242,5.438,1.186.724.645,4.9,57.0,18.0,75.0,55.6,49.7
39,TRALT,"TRALT - Türk Altın 
	Hisse Senedi",2026/6,June,7.386.617.000,False,139.603.750.000,0.0529113078982477,0.1313715621221226,161.086,-21.482,,132.2,48.0,31.0,79.0,,-38.2
40,SELEC,"SELEC - Selçuk Ecza Deposu 
	Hisse Senedi",2026/6,June,7.267.176.484,False,206.907.050.000,0.0351229041446388,0.1924877952282388,214.711,-7.804,798.396.927,23.5,59.0,20.0,79.0,11.0,-20.7
41,FROTO,"FROTO - Ford Otosan 
	Hisse Senedi",2026/6,June,27.524.063.000,False,379.550.875.000,0.072517453687862,0.1028858575941055,267.569,111.982,38.099.705.000,38.8,34.0,45.0,79.0,138.4,41.9
42,EFOR,"EFOR - Efor Yat. San. 
	Hisse Senedi",2026/6,June,1.179.094.616,False,39.671.900.000,0.0297211531587849,0.1942477740863722,36.808,2.864,1.136.873.813,32.3,62.0,19.0,81.0,96.4,47.2
43,AGHOL,"AGHOL - Anadolu Grubu Holding 
	Hisse Senedi",2026/6,June,18.591.195.000,False,176.957.266.662,0.1050603648591368,0.0587915450201582,79.490,97.468,42.198.142.000,3.3,25.0,62.0,87.0,227.0,30.8
44,RYSAS,"RYSAS - Reysaş Taşımacılık 
	Hisse Senedi",2026/6,June,4.127.927.783,False,64.777.300.000,0.063724912631431,0.0877658867577896,60.560,4.217,2.880.848.828,6.2,39.0,49.0,88.0,69.8,9.0
45,CIMSA,"CIMSA - Çimsa 
	Hisse Senedi",2026/6,June,4.366.096.000,False,67.859.908.136,0.0643398454246324,0.0844197447679471,41.606,26.254,1.939.705.000,7.8,38.0,50.0,88.0,44.4,50.8
46,TABGD,"TABGD - Tab Gıda 
	Hisse Senedi",2026/6,June,3.357.226.000,False,62.833.382.000,0.0534306111359722,0.10293662688742,61.012,1.822,1.869.269.000,5.2,46.0,44.0,90.0,55.7,5.6
47,ASELS,"ASELS - Aselsan 
	Hisse Senedi",2026/6,June,48.613.117.000,False,1.770.044.400.000,0.0274643489168972,0.1486466792520939,1.736.220,33.824,9.659.813.000,277.7,63.0,27.0,90.0,19.9,10.3
48,ENKAI,"ENKAI - Enka İnşaat 
	Hisse Senedi",2026/6,June,27.709.033.000,False,348.463.200.000,0.0795178170894372,0.0605785682532935,520.800,-172.337,2.422.422.000,25.4,31.0,60.0,91.0,8.7,-37.7
49,KCAER,"KCAER - Kocaer Çelik Sanayi 
	Hisse Senedi",2026/6,June,1.681.241.869,False,31.712.700.000,0.0530147817435916,0.0957689269379185,29.300,2.413,1.609.948.074,5.5,47.0,47.0,94.0,95.8,13.7
50,NUHCM,"NUHCM - Nuh Çimento 
	Hisse Senedi",2026/6,June,1.776.217.582,False,26.930.769.600,0.0659549507266959,0.0697544869005849,31.695,-4.764,358.223.798,0.3,37.0,58.0,95.0,20.2,-18.7
