Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,31.268.000.000,0.2783479421773058,0.3572416850191646,30.325,943,1.297.336.597,0.8,3.0,4.0,7.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,25.772.887.840,0.2063978640276424,0.3359224042825541,29.651,-3.878,3.001.528.000,3.6,5.0,7.0,12.0,56.4,-24.5
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,220.389.689.843,0.1739813102295472,0.3444231721257625,138.539,81.850,29.083.281.000,7.8,8.0,5.0,13.0,75.8,73.5
4,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,25.881.937.500,0.1434548457973828,0.4661168705433294,26.273,-392,61.147.098,7.6,15.0,2.0,17.0,1.6,-4.9
5,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,42.029.600.000,0.1155755560604906,0.3424465351477972,35.624,6.406,1.043.513.420,0.9,19.0,6.0,25.0,21.5,45.2
6,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,29.040.400.000,0.1302038398575777,0.2788424777631283,30.549,-1.509,204.998.460,3.2,16.0,11.0,27.0,5.4,-11.1
7,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,333.497.500.000,0.1486920171815381,0.2417850361438487,212.975,120.522,47.155.432.000,45.4,13.0,14.0,27.0,95.1,58.8
8,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,253.232.172.440,0.1225117278784934,0.3036832655112932,223.287,29.946,11.670.835.000,10.5,18.0,10.0,28.0,37.6,29.3
9,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,83.250.579.124,0.150186366648079,0.2135624090182964,63.366,19.885,3.949.004.000,6.9,12.0,16.0,28.0,31.6,34.0
10,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/6,June,2.603.901.925,False,27.476.877.593,0.0947670242449815,2.297308811337798,25.959,1.518,944.045.434,7.5,28.0,1.0,29.0,36.3,133.9
11,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,99.088.560.938,0.1836164117014074,0.1850546539354375,99.085,4,11.149.253.000,21.5,6.0,23.0,29.0,61.3,0.0
12,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,34.742.100.000,0.1110084805178731,0.3344456247115929,28.585,6.157,2.482.987.037,15.0,21.0,8.0,29.0,64.4,53.4
13,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,182.832.931.548,0.1652592601575014,0.1561600800321292,117.178,65.655,22.981.548.000,18.9,9.0,26.0,35.0,76.1,33.9
14,TBORG,"TBORG - Tuborg 
	Hisse Senedi",2026/6,June,6.196.509.000,False,41.916.214.155,0.1478308364654837,0.1885925202242472,43.539,-1.622,3.257.057.000,0.7,14.0,22.0,36.0,52.6,-4.9
15,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,7.046.662.075,1.0228597488036386,0.1211997691675427,28.031,-20.984,55.684.000,4.1,1.0,35.0,36.0,0.8,-35.3
16,INVES,"INVES - Investco Holding 
	Hisse Senedi",2026/6,June,13.215.978.559,False,142.442.850.000,0.0927809192177775,0.3076987800494339,147.094,-4.651,59.609.521,1.6,29.0,9.0,38.0,0.5,-10.8
17,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/6,June,7.184.466.000,False,32.469.876.000,0.2212655816733023,0.1201019784213612,54.215,-21.745,,16.1,4.0,36.0,40.0,,-36.4
18,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/6,June,50.457.954.000,False,326.100.700.000,0.1547312041955138,0.1404952797533016,229.240,96.861,36.241.898.000,60.6,11.0,29.0,40.0,71.8,27.0
19,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/6,June,9.913.209.000,False,98.155.223.789,0.1009952259016799,0.2113348066695031,84.905,13.250,5.498.412.000,6.5,25.0,17.0,42.0,55.5,28.2
20,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/6,June,82.511.223.000,False,665.530.380.874,0.1239781464096426,0.1576487097907291,796.248,-130.718,24.317.996.000,189.0,17.0,25.0,42.0,29.5,-25.0
21,ULKER,"ULKER - Ülker Bisküvi 
	Hisse Senedi",2026/6,June,12.416.232.000,False,76.905.849.334,0.161447173492838,0.1235408883297503,34.804,42.102,15.752.359.000,12.9,10.0,34.0,44.0,126.9,41.9
22,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/6,June,11.026.854.000,False,13.681.014.784,0.8059967900229992,0.1060213623903336,57.051,-43.370,9.726.593.000,5.2,2.0,42.0,44.0,88.2,-41.7
23,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,11.372.906.180,False,163.132.800.000,0.0697156315590733,0.2756768656269178,167.668,-4.535,2.271.621.446,30.1,34.0,12.0,46.0,20.0,-11.0
24,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/6,June,10.102.534.000,False,97.661.923.961,0.1034439379265624,0.1460152384039612,108.415,-10.753,1.682.447.000,8.6,23.0,28.0,51.0,16.7,-15.5
25,PAHOL,"PAHOL - Pasifik Holding 
	Hisse Senedi",2026/6,June,4.903.813.174,False,26.799.400.000,0.1829822001238833,0.0958271785425423,26.800,-1,294.996.172,7.3,7.0,46.0,53.0,6.0,-0.0
26,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/6,June,3.527.866.000,False,32.976.400.000,0.1069815383122475,0.1255162532288397,28.336,4.640,565.125.000,22.2,22.0,33.0,55.0,16.0,16.5
